prompt,greedy_search,beam_search,top_k,top_p,greedy_bert_score,beam_bert_score,top_k_bert_score,top_p_bert_score,greedy_bleu,beam_bleu,top_k_bleu,top_p_bleu
"Wanda: Let's make a party!
Gina: Why?
Wanda: beacuse. I want some fun!
Gina: ok, what do u need?
Wanda: 1st I need too make a list
Gina: noted and then?
Wanda: well, could u take yours father car and go do groceries with me?
Gina: don't know if he'll agree
Wanda: I know, but u can ask :)
Gina: I'll try but theres no promisess
Wanda: I know, u r the best!
Gina: When u wanna go
Wanda: Friday?
Gina: ok, I'll ask","Wanda and Gina are planning a party. Wanda needs to make a list first. Gina will take her father's car and go do groceries with Wanda on Friday. Gina doesn't know if her father will agree to go with her, but she can ask him.","Wanda and Gina are planning a party. Wanda needs to make a list first. Gina will take her father's car and go do groceries with her on Friday. She will ask her dad if he'll go with them, but it's not guaranteed. ",Wanda and Gina are planning a party for Friday. Wanda needs to make a list first. Gina will take her father's car and go do groceries with Wanda. Gina is not sure if he will agree to go with her.    ,"Wanda wants to make a party. She will make a list and then ask Gina to take her father's car and go do groceries with her on Friday. Gina will ask her father if he'll go with them, but she doesn't know if he will agree.",0.9156466722488403,0.920524001121521,0.9178407788276672,0.9276930093765259,0.1605459569752503,0.17570528340772593,0.18586302203348085,0.2056188572728757
"Martin: I won two cinema tickets!
Aggie: oh cool, how come?
Martin: online. on fb, the movie mag organized it
Aggie: so what did you do
Martin: just write a short review and that's it
Aggie: well done :) so what and when. and where?
Martin: the new film with Redford
Aggie: i guess i heard sth
Martin: it's pretty cool i heard. till the end of the week
Aggie: sounds good. we'll find time XD",Martin won two cinema tickets for the new film with Redford online. He will see it with Aggie at the cinema at the end of the week. He has to write a short review on the movie mag website.    He will do that. ,"Martin won two cinema tickets online. He had to write a short review and that's it. Martin and Aggie will see the new film with Redford till the end of the week. They will find time to go to the cinema together. The movie is called ""The Godfather"".",Martin won two cinema tickets for the new film with Redford online. He has to write a short review for the movie mag. Martin and Aggie will go to the cinema to see the film at the end of the week. They will meet at the cinema.,Martin won two cinema tickets for the new film with Redford online. He has to write a short review and that's it. Martin and Aggie will go to the cinema together at the end of the week to see the new movie with Redfern.,0.9140035510063171,0.9174206852912903,0.9213500618934631,0.9291425943374634,0.153876603091887,0.13836345500899627,0.1474496993451218,0.1874037429552703
"Charlee: I'm in class. Theatre in Portuguese lol
Curtis: Realllly?
Charlee: Yes. One of my subjects at the university that I attend is portuguese theatre. We are preparing a performance
Curtis: What performance is this? Are you devising it?
Charlee: A polish one translated into portuguese
Curtis: Thats quite cool. Who is the writer?
Charlee: Mrożek",Charlee is in a theatre class at the university. She is preparing a performance in Portuguese. The writer of the play is Mrożek. Charlee is devising a Polish play translated into Portuguese. She will write the script for it. ,"Charlee is in a theatre class at the university. They are preparing a performance of a Polish play translated into Portuguese. The writer of the Polish version is Mrożek. Charlee doesn't know who the actor is, but he's a good actor.","Charlee is preparing a performance in Portuguese for her university class. The writer of the play is Mrożek. Charlee is devising a Polish play translated into Portuguese. She is excited about it.    The performance is called ""Theatre in Portuguese"".",Charlee is in a theatre class at the university. She is preparing a performance in Portuguese. The writer of the play is Mrożek. Charlee is devising a Polish play translated into Portuguese. She will write the script for it. ,0.9215790629386902,0.9050986766815186,0.9063347578048706,0.9215790629386902,0.08621434964845645,0.09470104450212836,0.07732307904627223,0.08621434964845645
"Mary: Are you going by car or train?
Tom: Ella rented a car
Ella: this makes all of this much faster
Mary: good decision","Ella rented a car to go by car instead of the train. Mary and Tom are happy with the decision. Tom and Ella are going by car, not by train, because it makes the journey faster.    - Mary is happy with this decision.",Ella rented a car to go by car instead of by train. Mary and Tom are happy with the decision. Tom and Ella are going to meet with Mary soon. They will take the car as it's faster than the train and it makes the journey faster.,Ella rented a car to go by car instead of by train as she wants to get there faster. Mary thinks it's a good decision on her part. Tom thinks it was a good idea on Ella's part as it makes the journey faster. ,"Ella is going by car as she rented a car. Tom and Mary congratulate her on this decision.    -      ""This makes all of this much faster"".   Tom and   Mary congratulate Ella on this. ",0.8943997621536255,0.9038991928100586,0.8975871801376343,0.8858311772346497,0.06819851521871377,0.05886250626142405,0.059596152114584695,0.0
"Luke: are you still looking for someone to join netflix family?
Paul: yes, 1 person :)
Luke: i am the one!
Paul: sure, i will send you the login and password on sunday
Luke: ok we can talk tomorrow
Paul: i don't really remember it now
Luke: send me also the bank account details so I can wire you the money every month. Are you paying for this or someone else?
Paul: I do, and I keep track of everyone accessing so you should not expect any bans :D
Luke: easy mate :D you still on holidays with your girl?
Paul: last dinner :( tomorrow we are out
Luke: how long have you been there?
Paul: less than 8 days :/",Luke wants to join Netflix family. Paul will send him the login and password on Sunday. He will also send Luke the bank account details so he can wire Paul the money every month. Paul is on holidays with his girlfriend and they are going out tomorrow. They have been there less than 8 days.,Luke wants to join Netflix family. Paul will send him the login and password on Sunday. He will also send Luke the bank account details so he can wire Paul the money every month. Luke and Paul are going to meet tomorrow to catch up after Paul's last dinner with his girlfriend.,Luke wants to join Netflix family. Paul will send him the login and password on Sunday. He will also send Luke the bank account details so he can wire Paul the money every month. Paul is on holidays with his girlfriend and they have their last dinner tomorrow.,Luke wants to join Netflix family. Paul will send him the login and password on Sunday. He will also send Luke the bank account details so he can wire Paul the money every month. Paul keeps track of everyone accessing Netflix. Paul is on holidays with his girlfriend. They are going out tomorrow.,0.8967698812484741,0.8994747400283813,0.9033082723617554,0.9048473238945007,0.11966751775324048,0.08871418644475827,0.1371661844308428,0.12174947256163497
"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.","Greg needs to stay after hours. He asks Betsy to pick Johnny up, but she can't do it. She needs to work long hours today and on Tuesdays Johnny is in the kindergarten. Greg will see what he can do about it.   ","Greg needs to stay after hours. He asks Betsy to pick Johnny up, but she can't, because she has to work long hours and on Tuesdays Johnny is in the kindergarten. Greg will see what he can do about it. It's not easy for him.","Greg needs to stay after hours. He asks Betsy to pick Johnny up, but she can't do it, because she has to work long hours. Johnny is in the kindergarten on Tuesdays. Greg will see what he can do about it.   ","Greg needs to stay after hours. He asks Betsy to pick Johnny up, but she can't do it. She needs to work long hours today as well. Johnny goes to kindergarten on Tuesdays, so Greg needs to think of something to pick him up.",0.9072575569152832,0.9013996124267578,0.9094809889793396,0.9061418175697327,0.0,0.0,0.0,0.0
"Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>",Ethan sends Scott a photo of himself and Marshall. Toby and Marshall are making fun of Scott. Scott is not happy about it.    He thinks Ethan and Marshall make fun of him. He thinks they are all the same person. He doesn't like it.,Ethan shares a photo of Scott with Toby and Marshall. Scott is making fun of them. Ethan and Scott are the same way.  He is not happy about it. He thinks they are all fucks and he is the only one who doesn't like that.,"Ethan, Scott and Marshall are making fun of Scott. Toby and Marshall find it funny. Scott is not happy about it.   He thinks Ethan and Scott are exactly the same person. He doesn't like it. He thinks it's a joke. ","Ethan, Marshall and Toby are making fun of Scott. Scott is not happy with them.    He thinks they are all the same person. He is not a fan of them at all. He thinks that they make fun of him too much. ",0.8949720859527588,0.8976786732673645,0.9164642691612244,0.9201960563659668,0.15702128402250726,0.0,0.1686730079436037,0.11411794310494724
"Igor: Shit, I've got so much to do at work and I'm so demotivated. 
John: It's pretty irresponsible to give that much work to someone on their notice period.
Igor: Yeah, exactly! Should I even care?
John: It's up to you, but you know what they say...
Igor: What do you mean?
John: Well, they say how you end things shows how you really are...
Igor: And now how you start, right?
John: Gotcha! 
Igor: So what shall I do then? 
John: It's only two weeks left, so grit your teeth and do what you have to do. 
Igor: Easy to say, hard to perform.
John: Come on, stop thinking, start doing! 
Igor: That's so typical of you!  ;)  ",Igor has a lot of work to do at work. He has only two weeks left of his notice period. John advises him to do what he has to do as it's the only way to show how he's really feeling at the end of the work.,Igor has a lot of work to do at work. He has only two weeks left of his notice period. John advises him to focus on his work and not think about other things. It's typical of John to tell Igor how to end things shows how he really is.,Igor has a lot of work to do at work. He has only two weeks left of his notice period. John advises him to do what he has to do as it's the only way to show how he really feels about things and to finish things on a positive note.,Igor has a lot of work to do at work. He has two weeks left of his notice period. John advises him to do what he has to do as it's only two weeks until the end of the notice period and to focus on his work. ,0.9101961851119995,0.8915349245071411,0.9112043976783752,0.9123360514640808,0.21866340640321882,0.13733465907927725,0.21238760174654034,0.2388866231285941
"Clara: Hi, what you up to?
Neela: Not much, chilling out.
Clara: Just rewatching Dear White People on Netflix, love it!😍
Neela: Oh yeah, heard of it, but not seen it yet? Any good?
Clara: Well, yes! I just said it was, LOL. It's about a fictional Ivy League University and the students in one House of Residence.
Neela: Why is it called Dear White People?
Clara: That's the name of the radio show the main character, Sam, presents on college radio.
Neela: Yeah, but why is it so good?
Clara: Well, it's mainly stories from the perspective of black students there, which I find very interesting. The characters are strong and likeable too.
Neela: I suppose it's rather different from the UK, then?
Clara: It seems so, as there is a lot more racial awareness and discrimination there than here. It all kicks off when there is a Blackface party held by an elite group of white students, which gets out of hand.
Neela: How's that?
Clara: Well, obviously, the black students try to break it up and there's also an incident where one guy, Reggie, gets a loaded gun pointed at him by a campus policeman after he gets into an argument with a white student. It may be at another party, though, I'm not sure of that.
Neela: Oh, that sounds pretty strong stuff. What else happens?
Clara: Well, there is a young black guy called Lionel who is coming to terms with being gay and is finding his voice as a journalist. He unearths corruption at the uni and he and Sam also uncover some conspiracy theory stuff about secret societies.
Neela: Well, I must say, it does sound good, I'll check it out soon!
Clara: Definitely, there is supposed to be a Series 3 coming up next year, really looking forward to it!
Neela: Well, thanks Clara, I'm just watching the rest of a movie and I'll try Dear White People.
Clara: Don't blame me if you get hooked and stay up till 4!
Neela: See ya, love!
Clara: Bye!","Clara is rewatching Dear White People on Netflix. Neela hasn't seen it yet. It's about a fictional Ivy League University and the students in one House of Residence. The main character, Sam, presents a radio show on college radio. There is a Blackface party held by an elite group of white students, which gets out of hand. The black students try to break it up and there's an incident where Reggie gets a loaded gun pointed at him by a campus policeman. There's a young black guy called Lionel who is coming to terms with being gay and is finding his voice as a journalist.","Clara is rewatching Dear White People on Netflix. Neela hasn't seen it yet. It's about a fictional Ivy League University and the students in one House of Residence. The main character, Sam, presents a radio show on college radio. There is a Blackface party held by an elite group of white students. Black students try to break it up. One guy, Reggie, gets a loaded gun pointed at him by a campus policeman after he gets into an argument with a white student.","Clara is rewatching Dear White People on Netflix. Neela hasn't seen it yet. It's about a fictional Ivy League University and the students in one House of Residence. The main character, Sam, presents a radio show on college radio. There is a Blackface party held by an elite group of white students. The black students try to break it up. There's a young black guy called Lionel who is coming to terms with being gay. He unearths corruption at the uni and he and Sam uncover some conspiracy theory stuff.","Clara is rewatching Dear White People on Netflix. Neela hasn't seen it yet. It's about a fictional Ivy League University and the students in one House of Residence. The main character, Sam, presents a radio show on college radio. There is a Blackface party held by an elite group of white students. The black students try to break it up. There's also an incident where Reggie gets a loaded gun pointed at him by a campus policeman. ",0.8638768196105957,0.8675808310508728,0.865728497505188,0.8709876537322998,0.04465922625585483,0.05479942208422,0.051460942115635636,0.0599884022611939
"Ernest: hey Mike, did you park your car on our street?
Mike: no, took it into garage today
Ernest: ok good
Mike: why?
Ernest: someone just crashed into a red honda looking just like yours
Mike: lol lucky me",Mike parked his car on Ernest's street today and took it into the garage. Someone crashed into a red Honda looking just like Mike's car and he's lucky to have parked it there. He doesn't want to park his car there anymore.   ,Mike parked his car on Ernest's street today. Someone crashed into a red Honda looking just like Mike's car and he had to take it to the garage instead of parking it on the street as someone had already parked it there.    . Â,"Mike parked his car on Ernest's street today. Someone crashed into his red Honda, so he had to take it to the garage instead.   He is lucky, because someone crashed into a red Honda just like Mike's. He took it into the garage. ",Mike parked his car on Ernest's street today and took it into the garage. Someone crashed into a red Honda looking just like Mike's car on the same street and he's lucky to have parked it there. He's glad that someone crashed into his car. ,0.9167031049728394,0.9076146483421326,0.9122546911239624,0.9162130355834961,0.11437790076957295,0.13487404450357782,0.125959010609916,0.10853414547943056
